id_local,Nombre,desc_situacion_terraza,desc_ubicacion_terraza,id_distrito_local,desc_distrito_local,desc_barrio_local
270261784,CERVECERIA GA-MA,Abierta,Acera,8,FUENCARRAL-EL PARDO,EL PILAR
270248632,CAFETERIA ANPE MARISQUERIA,Abierta,Plaza con bandas permanentes de circulaci? rodada,8,FUENCARRAL-EL PARDO,PE?A GRANDE
270130502,CERVECERIA LAS VEGAS,Abierta,Acera,8,FUENCARRAL-EL PARDO,EL PILAR
270400244,EL RINCON GOURMET,Abierta,Acera,8,FUENCARRAL-EL PARDO,EL PILAR
270479594,LA TOSTADERIA DE ALTAMIRA,Abierta,Acera,8,FUENCARRAL-EL PARDO,EL PILAR
80001007,EL MONASTERIO,Abierta,Acera,8,FUENCARRAL-EL PARDO,MIRASIERRA
270539729,EL CA?ON,Abierta,Acera,8,FUENCARRAL-EL PARDO,VALVERDE
280048981,MCDONALDS,Abierta,Otros,8,FUENCARRAL-EL PARDO,MIRASIERRA
280048080,BAR PIZZERIA PIZZA TI AMO,Abierta,Acera,8,FUENCARRAL-EL PARDO,EL PILAR
270527928,BAR GRANADA,Abierta,Bulevar,8,FUENCARRAL-EL PARDO,PE?A GRANDE
285016776,RESTAURANTE MONTECARMELO,Abierta,Acera,8,FUENCARRAL-EL PARDO,EL GOLOSO
280048618,EL PESCADOR,Abierta,Acera,8,FUENCARRAL-EL PARDO,MIRASIERRA
270478409,TRES X TRES,Abierta,Acera,8,FUENCARRAL-EL PARDO,EL PILAR
285016773,BERGUE DELICATESSEN,Abierta,Acera,8,FUENCARRAL-EL PARDO,EL GOLOSO
270359027,RESTAURANTE FLORA BARRAGAN,Abierta,Otros,8,FUENCARRAL-EL PARDO,EL PARDO
270127299,LA PLAZA,Abierta,Plaza peatonal,8,FUENCARRAL-EL PARDO,EL PARDO
280048984,LA BELLA ANNA,Abierta,Acera,8,FUENCARRAL-EL PARDO,EL GOLOSO
280048570,EL PESCADOR,Abierta,Acera,8,FUENCARRAL-EL PARDO,VALVERDE
280046717,BAR LA JAULA DEL CANARIO,Abierta,Acera,8,FUENCARRAL-EL PARDO,PE?A GRANDE
270548018,LA RETAHILA,Abierta,Acera,8,FUENCARRAL-EL PARDO,EL GOLOSO
270536796,CERVECERIA ALTO TAJO,Abierta,Acera,8,FUENCARRAL-EL PARDO,VALVERDE
280048923,FORMENTERA,Abierta,Acera,8,FUENCARRAL-EL PARDO,EL GOLOSO
80001030,R?TULO NO INFORMADO,Abierta,Acera,8,FUENCARRAL-EL PARDO,EL PILAR
270554239,BAR CAFETERIA BALBOA / LOCAL 6-7,Abierta,Acera,8,FUENCARRAL-EL PARDO,MIRASIERRA
